Species	Trait
Sporosch	1
Spoth2	0
Stano2	0
Stehi1	0
Stely1	0
Suibr2	0
Suilu4	0
Synps1	0
Synrac1	0
Talabor1	0
Talma1_2	1
Tapde1_1	1
Terbo2	0
Tescy1	1
Thasp1	0
Thelan1	0
Thite2	0
Tilan2	1
Tilwa1	1
Tolinf1	0
Torde1	1
Trapub1	0
Trave1	0
Treen1	1
Trias1	0
Trias2479	1
Triat2	0
Triatrob1	0
Trici4	0
Trigam1	0
Triha1	0
Triham1	0
Trilo3	0
Triol1	1
Tripar1	0
Trire_Chr	0
Triru1	0
Triver1	0
TriviGv29_8_2	0
Tryvi1	0
Tubae1	0
Tubbor1	0
Tubme1v2	0
Tulca1	0
Uncre1	0
Usnflo1	0
Usthor1	1
Ustma2_2	1
Ustsp1	1
Ustvir1	0
Venin1	0
Venpi1	0
Veral1	1
Verdah1	1
Verga1	0
Walic1	0
Walse1	0
Wican1	1
Wolco1	0
Xanpa2	0
Xylhe1	0
Yarli1	1
YarliW29	1
Zancul2	0
Zygro1	1
Zymar1	1
Zymps1	1
Zymtri	1
Pilcr1	0
Volvo1	0
